production_case_id,source_case_id,particle_material,substrate_material,pair,impact_velocity_m_s,velocity_level_index,qualified_velocity_min_m_s,qualified_velocity_max_m_s,solve_reuse,case_gate_decision,ml_candidate,constitutive_review_flags,terminal_particle_volume_weighted_velocity_m_s,terminal_velocity_class,particle_axial_flattening_percent,normalized_crater_depth,particle_peeqvavg_p95,particle_peeqvavg_max,substrate_peeq_p95,substrate_peeq_max,maximum_peeq,particle_temperature_p95_k,particle_temperature_max_k,substrate_temperature_p95_k,substrate_temperature_max_k,particle_temperature_max_over_melt,substrate_temperature_max_over_melt,maximum_temperature_over_melt,peak_contact_pressure_pa,initial_kinetic_energy_j,final_allae_over_allie,eulerian_allae_over_allie,substrate_allae_over_allie,etotal_drift_over_initial_ke,final_over_initial_particle_material_volume,particle_material_volume_relative_change_abs,endpoint_over_first_boundary_return,terminal_time_s,frame_count,odb_file
MMCELP4_CU_CU_V09,MMCELP4_CU_CU_V09_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,795.0,9,300.0,850.0,False,PASS_CEL_P4_CASE,True,,41.39951039581093,REBOUND,25.415885007325752,0.6893528916407377,2.06144118309021,2.455312490463257,0.9399709701538086,4.675248622894287,4.675248622894287,583.3896484375,649.0888061523438,401.367919921875,875.2357788085938,0.4786790605843243,0.6454541141656296,0.6454541141656296,18101176320.0,5.793697710032575e-06,0.048106481808737465,0.11418812240790778,0.02602902798632543,0.010091459691144977,1.0006317821193278,0.000631782119327795,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V09_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V10,MMCELP3_CU_CU_HIGH_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,850.0,10,300.0,850.0,True,PASS_CEL_P4_CASE,True,,40.658572471720156,REBOUND,22.011275135291985,0.7496530452044681,2.13987135887146,2.5995640754699707,1.0341142416000366,4.928600788116455,4.928600788116455,596.203125,666.5433959960938,413.6695861816406,901.2720947265625,0.4915511769882697,0.6646549371139842,0.6646549371139842,21233633280.0,6.623071385547519e-06,0.04947432122027528,0.12053402058747416,0.027162840386614803,0.010570993927063238,1.0004599943033585,0.0004599943033585241,0.4923003427517237,7.999999951380232e-08,41,jobs/verification/CEL_P3/MMCELP3_CU_CU_HIGH_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V00,MMCELP3_INCONEL718_TI6AL4V_LOW_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,500.0,0,500.0,1150.0,True,PASS_CEL_P4_CASE,True,,90.86814415582843,REBOUND,20.313833565569617,0.14278424714575522,0.5455921292304993,0.6195110082626343,0.0747755840420723,0.700563907623291,0.700563907623291,545.4852294921875,578.3363647460938,338.0237731933594,744.9688720703125,0.35943838703921305,0.3863946431899961,0.3863946431899961,5901877248.0,2.0947754819644615e-06,0.011655194085881589,0.019939268574781573,0.004266152363959222,7.598025381746504e-07,0.9995223230610872,0.0004776769389127633,0.6734279485205487,7.999999951380232e-08,41,jobs/verification/CEL_P3/MMCELP3_INCONEL718_TI6AL4V_LOW_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V01,MMCELP4_INCONEL718_TI6AL4V_V01_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,565.0,1,500.0,1150.0,False,PASS_CEL_P4_CASE,True,,109.5983702402537,REBOUND,22.206872388233222,0.17103058780776337,0.60349440574646,0.6874430179595947,0.10156752914190292,1.004357933998108,1.004357933998108,572.10498046875,612.9817504882812,353.0909729003906,954.5123901367188,0.38097063423758937,0.49507904052734375,0.49507904052734375,6175411712.0,2.6748186883196468e-06,0.012575614655839652,0.024574243427750702,0.0037572584701976823,0.00013481835267103973,0.9994252543716476,0.0005747456283523578,0.6734279485205487,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_INCONEL718_TI6AL4V_V01_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V02,MMCELP4_INCONEL718_TI6AL4V_V02_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,630.0,2,500.0,1150.0,False,PASS_CEL_P4_CASE,True,,128.2459746782076,REBOUND,23.25385311384998,0.20161178326816298,0.6247341632843018,0.7157571315765381,0.13695593178272247,1.5392282009124756,1.5392282009124756,585.6681518554688,625.3604736328125,373.46533203125,1288.851806640625,0.3886640606791874,0.668491600954681,0.668491600954681,9216011264.0,3.3256656024605036e-06,0.01263748922395657,0.026977012975597764,0.004270438131503664,0.0004454264717464929,0.9996079657076666,0.0003920342923333653,0.6734279485205487,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_INCONEL718_TI6AL4V_V02_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V03,MMCELP4_INCONEL718_TI6AL4V_V03_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,695.0,3,500.0,1150.0,False,PASS_CEL_P4_CASE,True,,144.67032688755506,REBOUND,23.813449846296116,0.2348593443457503,0.6454243659973145,0.7221910953521729,0.18119508028030396,2.158271074295044,2.158271074295044,593.3624877929688,634.4721069335938,399.65277099609375,1579.49072265625,0.3943269775845828,0.8192379266889264,0.8192379266889264,7953964032.0,4.047315542266006e-06,0.013484830825155747,0.0319893586488548,0.004897799256504398,0.00042156635495999446,0.9998202349643065,0.0001797650356935021,0.6734279485205487,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_INCONEL718_TI6AL4V_V03_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V04,MMCELP4_INCONEL718_TI6AL4V_V04_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,760.0,4,500.0,1150.0,False,PASS_CEL_P4_CASE,True,,159.13038300074746,REBOUND,24.394237778143186,0.2725175909290556,0.6580291986465454,0.7535204291343689,0.22901901602745056,2.80100679397583,2.80100679397583,604.561279296875,645.3873291015625,428.85650634765625,1764.7451171875,0.40111083225703076,0.9153242309063797,0.9153242309063797,8390772224.0,4.839769189857179e-06,0.01573380073406765,0.03802167526308524,0.006966549383843788,0.00018209553626336765,0.9999253045687575,7.469543124249967e-05,0.6734279485205487,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_INCONEL718_TI6AL4V_V04_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V05,MMCELP3_INCONEL718_TI6AL4V_MID_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,825.0,5,500.0,1150.0,True,PASS_CEL_P4_CASE,True,NEAR_MELT_REVIEW,172.07365212842308,REBOUND,25.54410243478586,0.3120392284472473,0.7125493288040161,0.8213285803794861,0.274111807346344,3.292078733444214,3.292078733444214,625.46142578125,680.6773681640625,457.0293884277344,1844.2757568359375,0.4230437340982365,0.9565745626742415,0.9565745626742415,9630139392.0,5.703026090486674e-06,0.018829997493163556,0.04672130846507875,0.009041125345019017,6.937197708619675e-05,1.0003256783196692,0.00032567831966923144,0.6734279485205487,7.999999951380232e-08,41,jobs/verification/CEL_P3/MMCELP3_INCONEL718_TI6AL4V_MID_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V06,MMCELP4_INCONEL718_TI6AL4V_V06_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,890.0,6,500.0,1150.0,False,PASS_CEL_P4_CASE,True,NEAR_MELT_REVIEW,181.9397083564696,REBOUND,27.24169049305159,0.35221721191192046,0.7604994177818298,0.9718366861343384,0.3204774260520935,3.743612051010132,3.743612051010132,655.237548828125,754.5037231445312,486.4515380859375,1885.7010498046875,0.4689271119605539,0.9780607104796097,0.9780607104796097,11775314944.0,6.637086244154489e-06,0.0221391113736076,0.05672090721361453,0.010705398833670115,0.00016471273557638186,1.0003840602225404,0.0003840602225404499,0.6734279485205487,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_INCONEL718_TI6AL4V_V06_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_INCONEL718_TI6AL4V_V07,MMCELP4_INCONEL718_TI6AL4V_V07_EPD24_T080_DOM15_EBOT15,Inconel718,Ti6Al4V,Inconel718->Ti6Al4V,955.0,7,500.0,1150.0,False,PASS_CEL_P4_CASE,True,NEAR_MELT_REVIEW,193.4685014373763,REBOUND,28.959277781567938,0.39234673749888316,0.8333325982093811,1.1395719051361084,0.36600396037101746,4.517406940460205,4.517406940460205,686.13671875,837.5016479492188,516.4082641601562,1916.6739501953125,0.5205106575197134,0.9941254928398924,0.9941254928398924,11744952320.0,7.641950105607975e-06,0.024424240637889984,0.06539582587742129,0.011409615094625123,0.0005454385543771772,1.0006217448630932,0.0006217448630931877,0.6734279485205487,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_INCONEL718_TI6AL4V_V07_EPD24_T080_DOM15_EBOT15.odb
