model,regime,production_case_id,pair,particle_material,substrate_material,impact_velocity_m_s,velocity_level_index,constitutive_review_flags,case_gate_decision,solve_reuse,terminal_particle_volume_weighted_velocity_m_s__actual,terminal_particle_volume_weighted_velocity_m_s__predicted,terminal_particle_volume_weighted_velocity_m_s__residual,particle_axial_flattening_percent__actual,particle_axial_flattening_percent__predicted,particle_axial_flattening_percent__residual,normalized_crater_depth__actual,normalized_crater_depth__predicted,normalized_crater_depth__residual,particle_peeqvavg_p95__actual,particle_peeqvavg_p95__predicted,particle_peeqvavg_p95__residual,substrate_peeq_p95__actual,substrate_peeq_p95__predicted,substrate_peeq_p95__residual,particle_temperature_max_k__actual,particle_temperature_max_k__predicted,particle_temperature_max_k__residual,substrate_temperature_max_k__actual,substrate_temperature_max_k__predicted,substrate_temperature_max_k__residual,maximum_temperature_over_melt__actual,maximum_temperature_over_melt__predicted,maximum_temperature_over_melt__residual,peak_contact_pressure_pa__actual,peak_contact_pressure_pa__predicted,peak_contact_pressure_pa__residual
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V02,Cu->Cu,Cu,Cu,410.0,2,,PASS_CEL_P4_CASE,False,29.120214472964573,29.323262355891444,0.2030478829268709,37.73277714641386,37.47628264383334,-0.2564945025805158,0.2820364170474931,0.2810303526246114,-0.0010060644228816,1.272550344467163,1.2636094518005845,-0.0089408926665786,0.2848927080631256,0.2860991777636814,0.0012064697005558,513.696044921875,508.74036521911535,-4.955679702759653,636.7523193359375,627.0091504287684,-9.743168907169093,0.4695813564424317,0.4628586749749782,-0.0067226814674535,14053585920.0,8042815649.280018,-6010770270.719982
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V03,Cu->Cu,Cu,Cu,465.0,3,,PASS_CEL_P4_CASE,False,30.943849284549174,31.330748496758986,0.386899212209812,40.681998957091935,39.936455538208975,-0.7455434188829599,0.3381293208803981,0.3390620031495928,0.0009326822691947,1.4287939071655271,1.4227897781133636,-0.0060041290521635,0.3659149706363678,0.3702957564592357,0.0043807858228679,550.9423828125,549.4208187866202,-1.5215640258797976,686.5767822265625,686.9117279052716,0.3349456787091185,0.5063250606390579,0.5065720707266015,0.0002470100875435,9065197568.0,12160352716.799986,3095155148.799986
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V04,Cu->Cu,Cu,Cu,520.0,4,,PASS_CEL_P4_CASE,False,33.49750956958791,33.29369766365307,-0.2038119059348417,42.096496734127015,41.04023056272278,-1.056266171404232,0.3949583697249181,0.3925187567347185,-0.0024396129901996,1.5700541734695437,1.55918247818947,-0.0108716952800735,0.4540076553821563,0.4520912517979758,-0.0019164035841804,584.4381713867188,574.6394247436522,-9.79874664306658,736.077880859375,730.9680842590328,-5.109796600342179,0.5428302956190081,0.539062009040583,-0.003768286578425,10304609280.0,11690248309.760029,1385639029.760027
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V05,Cu->Cu,Cu,Cu,575.0,5,,PASS_CEL_P4_CASE,True,35.87791412256284,35.813765272287014,-0.0641488502758278,41.43419130487329,40.231351097106845,-1.2028402077664424,0.4523328607319854,0.4562711515973205,0.003938290865335,1.70257568359375,1.6944329807162335,-0.0081427028775165,0.5468625426292419,0.5524485047906624,0.0055859621614204,600.699951171875,598.3824951171865,-2.3174560546884777,779.786865234375,772.3901622009258,-7.396703033449171,0.5750640599073562,0.5696092641599756,-0.0054547957473806,14577115136.0,13459550830.07999,-1117564305.9200096
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V06,Cu->Cu,Cu,Cu,630.0,6,,PASS_CEL_P4_CASE,False,37.84728553709725,37.48079640513798,-0.3664891319592698,38.59387581953518,37.87560127760023,-0.7182745419349459,0.5100997441331856,0.5107417133785973,0.0006419692454117,1.803629398345948,1.799197704493999,-0.0044316938519486,0.6388731002807617,0.6435437794029732,0.0046706791222115,610.6246948242188,612.2668823242194,1.6421875000006594,804.2699584960938,802.5048650360118,-1.765093460081971,0.5931194384189482,0.591817747076704,-0.0013016913422442,16229382144.0,16237514342.400002,8132198.400001526
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V07,Cu->Cu,Cu,Cu,685.0,7,,PASS_CEL_P4_CASE,False,39.07568426236323,39.340216490057486,0.2645322276942536,34.334759829016825,34.08140948049941,-0.2533503485174151,0.5688592500519007,0.5699646987523013,0.0011054487004005,1.8953378200531008,1.8878682440519403,-0.0074695760011602,0.7397428154945374,0.7381121730804512,-0.0016306424140861,623.776123046875,620.9442549133303,-2.831868133544731,825.1095581054688,827.080311737061,1.970753631592288,0.6084878747090477,0.6099412328444396,0.0014533581353918,17889632256.0,17027657149.440054,-861975106.5599461
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V08,Cu->Cu,Cu,Cu,740.0,8,,PASS_CEL_P4_CASE,False,40.81829240866014,40.12140602241506,-0.6968863862450831,29.61384330404108,30.32126615925588,0.7074228552147979,0.6292339821811765,0.6230813887668816,-0.0061525934142949,1.971268892288208,1.9700843334198,-0.0011845588684078,0.8363637924194336,0.8298454850912039,-0.0065183073282296,631.1611328125,635.1668304443374,4.005697631837393,849.6636962890625,847.6663574218762,-1.997338867186272,0.626595646230872,0.6251226824645094,-0.0014729637663626,17817989120.0,17984827084.79999,166837964.7999916
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V09,Cu->Cu,Cu,Cu,795.0,9,,PASS_CEL_P4_CASE,False,41.39951039581093,40.73443944176629,-0.6650709540446442,25.415885007325752,25.622495015447807,0.2066100081220554,0.6893528916407377,0.6924539902684012,0.0031010986276635,2.06144118309021,2.059785187244424,-0.0016559958457857,0.9399709701538086,0.9401827782392476,0.0002118080854388,649.0888061523438,649.7368209838871,0.648014831543378,875.2357788085938,876.7581054687498,1.522326660156068,0.6454541141656296,0.6465767739445059,0.0011226597788762,18101176320.0,19611202303.999973,1510025983.9999733
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V10,Cu->Cu,Cu,Cu,850.0,10,,PASS_CEL_P4_CASE,True,40.65857247172016,41.39951039581113,0.7409379240909644,22.011275135291985,25.415885007325755,3.4046098720337703,0.7496530452044681,0.6893528916407474,-0.0603001535637206,2.13987135887146,2.061441183090217,-0.0784301757812429,1.0341142416000366,0.939970970153796,-0.0941432714462405,666.5433959960938,649.0888061523441,-17.45458984374966,901.2720947265624,875.2357788085949,-26.0363159179675,0.6646549371139842,0.6454541141656303,-0.0192008229483539,21233633280.0,18101176319.99992,-3132456960.00008
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V00,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,500.0,0,,PASS_CEL_P4_CASE,True,90.86814415582845,109.12602327563876,18.25787911981033,20.313833565569617,22.170933113549264,1.8570995479796475,0.1427842471457552,0.1688043108970314,0.0260200637512762,0.5455921292304993,0.6033890990913034,0.0577969698608041,0.0747755840420723,0.0998470086604335,0.0250714246183612,578.3363647460938,616.4453178405782,38.10895309448449,744.9688720703125,945.9316081237796,200.96273605346695,0.3863946431899961,0.4920040793042973,0.1056094361143012,5901877248.0,6197794988.800031,295917740.8000307
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V01,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,565.0,1,,PASS_CEL_P4_CASE,False,109.5983702402537,110.892581978608,1.2942117383542922,22.206872388233226,22.40545020923941,0.1985778210061859,0.1710305878077633,0.164786832658593,-0.0062437551491703,0.60349440574646,0.6084554993361224,0.0049610935896624,0.1015675291419029,0.100914630591868,-0.0006528985500348,612.9817504882812,644.1344589996339,31.15270851135267,954.5123901367188,1017.3603074645996,62.84791732788085,0.4950790405273437,0.5308802278605742,0.0358011873332305,6175411712.0,7784178456.3200035,1608766744.3200035
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V02,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,630.0,2,,PASS_CEL_P4_CASE,False,128.2459746782076,127.34582328044964,-0.900151397757952,23.25385311384998,23.458289389433325,0.2044362755833439,0.2016117832681629,0.1969733966916465,-0.0046383865765163,0.6247341632843018,0.6419880663603532,0.0172539030760514,0.1369559317827224,0.1367558414675294,-0.0002000903151929,625.3604736328125,654.3297581481937,28.96928451538122,1288.851806640625,1263.0374250793438,-25.814381561281152,0.668491600954681,0.6551023989000756,-0.0133892020546053,9216011264.0,7191059338.239994,-2024951925.760006
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V03,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,695.0,3,,PASS_CEL_P4_CASE,False,144.67032688755506,143.61384423968613,-1.0564826478689326,23.81344984629612,24.048654436946837,0.2352045906507136,0.2348593443457503,0.2361327122571309,0.0012733679113806,0.6454243659973145,0.6523492411524024,0.0069248751550879,0.1811950802803039,0.1829883424192666,0.0017932621389626,634.4721069335938,646.229668579102,11.757561645508304,1579.49072265625,1523.1977512359622,-56.29297142028781,0.8192379266889264,0.7906355326560806,-0.0286023940328458,7953964032.0,8823752176.640003,869788144.6400032
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V04,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,760.0,4,,PASS_CEL_P4_CASE,False,159.13038300074746,157.3752337070971,-1.755149293650362,24.394237778143182,24.83868279915743,0.4444450210142463,0.2725175909290556,0.2750652588474626,0.002547667918407,0.6580291986465454,0.6909956851601625,0.0329664865136171,0.2290190160274505,0.2309080773498862,0.0018890613224357,645.3873291015625,660.2203950500491,14.833065948486592,1764.7451171875,1702.688372268672,-62.056744918828144,0.9153242309063796,0.8846805594520416,-0.0306436714543379,8390772224.0,8886233957.120007,495461733.12000656
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V05,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,825.0,5,NEAR_MELT_REVIEW,PASS_CEL_P4_CASE,True,172.07365212842308,171.14700101425132,-0.9266511141717616,25.54410243478586,25.959467057799344,0.4153646230134846,0.3120392284472473,0.3133936751055446,0.0013544466582973,0.7125493288040161,0.7149698051065242,0.002420476302508,0.274111807346344,0.2760364458523691,0.0019246385060251,680.6773681640625,706.9606367492675,26.28326858520495,1844.2757568359373,1826.163401031497,-18.112355804440316,0.9565745626742416,0.947180187256998,-0.0093943754172435,9630139392.0,10224166362.24,594026970.2399998
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V06,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,890.0,6,NEAR_MELT_REVIEW,PASS_CEL_P4_CASE,False,181.9397083564696,183.1004092330216,1.1607008765519993,27.24169049305159,27.31236536320492,0.0706748701533293,0.3522172119119204,0.3532378253794369,0.0010206134675165,0.7604994177818298,0.7751672903448357,0.0146678725630058,0.3204774260520935,0.3212941097468137,0.0008166836947202,754.5037231445312,761.9912592315675,7.487536087036233,1885.7010498046875,1881.469189147944,-4.231860656743265,0.9780607104796096,0.9758657620061983,-0.0021949484734112,11775314944.0,10724081374.719995,-1051233569.2800026
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V07,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,955.0,7,NEAR_MELT_REVIEW,PASS_CEL_P4_CASE,False,193.4685014373763,192.03476295354056,-1.4337384838357252,28.959277781567938,29.037949249364956,0.0786714677970152,0.3923467374988831,0.3911205657004756,-0.0012261717984075,0.8333325982093811,0.8361989057064043,0.0028663074970232,0.3660039603710174,0.367377903573215,0.0013739432021975,837.5016479492188,847.7945987701416,10.292950820922895,1916.6739501953125,1903.0349427795336,-13.639007415778906,0.9941254928398924,0.9870513188690574,-0.0070741739708349,11744952320.0,14783889030.400084,3038936710.400085
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V08,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,1020.0,8,NEAR_MELT_REVIEW,PASS_CEL_P4_CASE,False,202.48943781615736,201.81124794273927,-0.6781898734180913,30.89819686722632,30.730021946860575,-0.1681749203657432,0.4314097895985469,0.4307793278712801,-0.0006304617272667,0.914595067501068,0.9182546666264482,0.0036595991253801,0.415949136018753,0.4127669617533684,-0.0031821742653845,944.4088134765624,888.6118975830082,-55.79691589355423,1920.986328125,1919.6808673095725,-1.305460815427523,0.996362203384336,0.9956850971522676,-0.0006771062320685,17899638784.0,11877624232.959995,-6022014551.040003
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V09,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,1085.0,9,NEAR_MELT_REVIEW,PASS_CEL_P4_CASE,False,210.670040623692,209.10793556610943,-1.562105057582528,32.61029667907848,32.5276098145393,-0.082686864539184,0.4715891918749548,0.4686328899879318,-0.0029563018870229,1.0084296464920044,1.0100397901237004,0.0016101436316959,0.4624225199222564,0.461280071958901,-0.0011424479633553,942.8836059570312,986.1349224853512,43.25131652831999,1922.873779296875,1924.3040554809536,1.4302761840785934,0.9973411718344788,0.998083016328292,0.000741844493813,12018502656.0,17163989173.759956,5145486517.759956
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_INCONEL718_TI6AL4V_V10,Inconel718->Ti6Al4V,Inconel718,Ti6Al4V,1150.0,10,PEEQ_MAX_REVIEW;NEAR_MELT_REVIEW,PASS_CEL_P4_CASE,True,216.35016608831003,210.67004062369284,-5.680125464617191,34.31058000296023,32.610296679078495,-1.7002833238817343,0.5093639265396632,0.4715891918749533,-0.0377747346647099,1.1144793033599854,1.0084296464920015,-0.1060496568679838,0.5108830332756042,0.4624225199222571,-0.0484605133533471,1031.7933349609375,942.883605957028,-88.90972900390943,1927.9344482421875,1922.8737792968652,-5.06066894532205,0.999966000125616,0.9973411718344748,-0.0026248282911413,16359011328.0,12018502656.000006,-4340508671.999994
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_TI6AL4V_TI6AL4V_V00,Ti6Al4V->Ti6Al4V,Ti6Al4V,Ti6Al4V,500.0,0,,PASS_CEL_P4_CASE,True,85.29434884584396,90.67398857115737,5.379639725313396,17.04523574545537,20.1415351702584,3.0962994248030284,0.0724238134353072,0.0856950555316878,0.0132712420963806,0.512882649898529,0.5828188657760637,0.0699362158775346,0.0239270739257335,0.0355393849313263,0.0116123110055928,663.1607666015625,723.3856811523436,60.224914550781136,525.1722412109375,610.914489746101,85.74224853516353,0.343963053216578,0.375200042091471,0.031236988874893,6963420672.0,6705716736.000002,-257703935.9999981
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_TI6AL4V_TI6AL4V_V01,Ti6Al4V->Ti6Al4V,Ti6Al4V,Ti6Al4V,565.0,1,,PASS_CEL_P4_CASE,False,90.67398857115738,91.33322957649816,0.6592410053407747,20.14153517025823,20.060651101240037,-0.0808840690181966,0.0856950555316871,0.0880130384871358,0.0023179829554487,0.582818865776062,0.5800503578782087,-0.0027685078978533,0.0355393849313259,0.0367742926348003,0.0012349077034744,723.3856811523438,721.8014099121094,-1.5842712402343295,610.9144897460938,629.629908752444,18.715419006350203,0.3752000420914646,0.3752426011334824,4.255904201783123e-05,6705716736.0,7349812954.880023,644096218.880023
