production_case_id,pair,impact_velocity_m_s,constitutive_review_flags,final_allae_over_allie,etotal_drift_over_initial_ke,particle_material_volume_relative_change_abs,endpoint_over_first_boundary_return,maximum_temperature_over_melt
MMCELP4_INCONEL718_TI6AL4V_V03,Inconel718->Ti6Al4V,695.0,,0.0134848308251557,0.0004215663549599,0.0001797650356935,0.6734279485205487,0.8192379266889264
MMCELP4_INCONEL718_TI6AL4V_V04,Inconel718->Ti6Al4V,760.0,,0.0157338007340676,0.0001820955362633,7.469543124249967e-05,0.6734279485205487,0.9153242309063796
MMCELP4_INCONEL718_TI6AL4V_V05,Inconel718->Ti6Al4V,825.0,NEAR_MELT_REVIEW,0.0188299974931635,6.937197708619675e-05,0.0003256783196692,0.6734279485205487,0.9565745626742416
MMCELP4_INCONEL718_TI6AL4V_V06,Inconel718->Ti6Al4V,890.0,NEAR_MELT_REVIEW,0.0221391113736076,0.0001647127355763,0.0003840602225404,0.6734279485205487,0.9780607104796096
MMCELP4_INCONEL718_TI6AL4V_V07,Inconel718->Ti6Al4V,955.0,NEAR_MELT_REVIEW,0.0244242406378899,0.0005454385543771,0.0006217448630931,0.6734279485205487,0.9941254928398924
MMCELP4_INCONEL718_TI6AL4V_V08,Inconel718->Ti6Al4V,1020.0,NEAR_MELT_REVIEW,0.0267944957926601,0.0010646708513464,0.0006219901233102,0.6734279485205487,0.996362203384336
MMCELP4_INCONEL718_TI6AL4V_V09,Inconel718->Ti6Al4V,1085.0,NEAR_MELT_REVIEW,0.0292700886428972,0.0015285350045856,0.0005214462228964,0.6734279485205487,0.9973411718344788
MMCELP4_INCONEL718_TI6AL4V_V10,Inconel718->Ti6Al4V,1150.0,PEEQ_MAX_REVIEW;NEAR_MELT_REVIEW,0.0327651532575536,0.0019320283852231,0.0007581324829613,0.6734279485205487,0.999966000125616
MMCELP4_TI6AL4V_TI6AL4V_V00,Ti6Al4V->Ti6Al4V,500.0,,0.0162503078762287,9.11042700410832e-05,0.0003410664356497,0.6734279485205487,0.343963053216578
MMCELP4_TI6AL4V_TI6AL4V_V01,Ti6Al4V->Ti6Al4V,565.0,,0.0159290984593693,0.0003944570455921,0.0003508032767314,0.6734279485205487,0.3752000420914646
MMCELP4_TI6AL4V_TI6AL4V_V02,Ti6Al4V->Ti6Al4V,630.0,,0.0167035942200166,0.000482842104691,0.0003790258399765,0.6734279485205487,0.4047615399499157
MMCELP4_TI6AL4V_TI6AL4V_V03,Ti6Al4V->Ti6Al4V,695.0,,0.017479975296419,0.0004977027983111,0.0002464109392699,0.6734279485205487,0.4669040664103021
MMCELP4_TI6AL4V_TI6AL4V_V04,Ti6Al4V->Ti6Al4V,760.0,,0.0177032953430128,0.000257178167493,0.0003001756254993,0.6734279485205487,0.5571254872682183
MMCELP4_TI6AL4V_TI6AL4V_V05,Ti6Al4V->Ti6Al4V,825.0,,0.0182103361184464,0.0001831645332728,3.881547360240489e-05,0.6734279485205487,0.6763922347072744
MMCELP4_TI6AL4V_TI6AL4V_V06,Ti6Al4V->Ti6Al4V,890.0,,0.0185359819094168,0.0003334580819123,0.0001081579106447,0.6734279485205487,0.7916679540610412
MMCELP4_TI6AL4V_TI6AL4V_V07,Ti6Al4V->Ti6Al4V,955.0,,0.0187108438825208,0.0004608467302324,2.4352251816628367e-05,0.6734279485205487,0.8784742553204422
MMCELP4_TI6AL4V_TI6AL4V_V08,Ti6Al4V->Ti6Al4V,1020.0,,0.0198446448128438,0.000715094906065,0.0003275395786023,0.6734279485205487,0.9158430297345048
MMCELP4_TI6AL4V_TI6AL4V_V09,Ti6Al4V->Ti6Al4V,1085.0,,0.0209853022346419,0.0009970226540968,0.0002174816494813,0.6734279485205487,0.9347415148469918
MMCELP4_TI6AL4V_TI6AL4V_V10,Ti6Al4V->Ti6Al4V,1150.0,NEAR_MELT_REVIEW,0.0217685727244409,0.0013411900964362,7.764465937976084e-06,0.6734279485205487,0.9561017301567364
