model,regime,target,r2,mae,rmse,nrmse,mean_r2,mean_nrmse
ExtraTrees,leave_one_pair_out_boundary_audit,terminal_particle_volume_weighted_velocity_m_s,0.37066836251996105,49.162169815807665,52.58545310533701,0.26517302694004974,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,particle_axial_flattening_percent,-0.3616431321871725,14.515147724074986,18.62563270681416,0.3245698617417134,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,normalized_crater_depth,-0.4132969263739872,0.194790358063363,0.23074088925994185,0.31809693281398044,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,particle_peeqvavg_p95,0.16920763388314042,0.42737365254624343,0.48999337804219223,0.2907836789510354,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,substrate_peeq_p95,-0.3615877944581791,0.2398482083604508,0.30914137841421474,0.30030420536493163,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,particle_temperature_max_k,0.028285101024517534,163.28745520331634,195.1225387376129,0.23134725612311477,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,substrate_temperature_max_k,0.3400256914487825,408.0768573067396,464.51531660632344,0.2936580497878919,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,maximum_temperature_over_melt,0.3739301650197232,0.13450593645263276,0.1536055565484045,0.23415375993684914,0.03814985249716041,0.27724405947041064
ExtraTrees,leave_one_pair_out_boundary_audit,peak_contact_pressure_pa,0.19775957159765778,3261217700.6400023,4080104262.5516176,0.23710976357412952,0.03814985249716041,0.27724405947041064
GradientBoosting,pair_aware_velocity_interpolation,terminal_particle_volume_weighted_velocity_m_s,0.9867612226975673,5.2730474670796905,7.626930277693198,0.038460373897422136,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,particle_axial_flattening_percent,0.9639167828275322,2.582223836398286,3.03201964373324,0.05283590694906297,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,normalized_crater_depth,0.9685321756429007,0.027119706480138464,0.03443033224093617,0.047465289384708405,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,particle_peeqvavg_p95,0.9755210639588499,0.06520880503850926,0.08410856646831018,0.04991373248078254,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,substrate_peeq_p95,0.9737721515991943,0.03141812257808136,0.04290576468795444,0.04167925250345084,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,particle_temperature_max_k,0.9416523435892085,35.418874015158174,47.813409707339616,0.056690022655753014,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,substrate_temperature_max_k,0.959461491532946,74.16110673146358,115.12520238670989,0.07278003804332975,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,maximum_temperature_over_melt,0.9045902338199392,0.041543468776306165,0.05996418734070382,0.09140841153724041,0.9348567428626223,0.06514960036282022
GradientBoosting,pair_aware_velocity_interpolation,peak_contact_pressure_pa,0.739503220095463,1653285640.506985,2324985071.3658533,0.1351133758136319,0.9348567428626223,0.06514960036282022
GradientBoosting,leave_one_pair_out_boundary_audit,terminal_particle_volume_weighted_velocity_m_s,0.3351653872138868,47.014977240171056,54.04837595023968,0.2725501180565893,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,particle_axial_flattening_percent,-0.4916907668825803,14.198125093035998,19.494800058023927,0.3397159526935315,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,normalized_crater_depth,0.28479748008934347,0.14106015089186555,0.16414300232115814,0.22628579506953933,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,particle_peeqvavg_p95,-0.40616728102832167,0.5251088841610229,0.637473970781158,0.3783051664900427,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,substrate_peeq_p95,0.3728818091137792,0.16284156414961343,0.2098017051203609,0.2038042744829809,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,particle_temperature_max_k,0.36540251150535485,136.40676574913255,157.68383783404522,0.18695801855532398,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,substrate_temperature_max_k,0.4413010073470375,345.89027655383427,427.39109394406694,0.2701887982107065,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,maximum_temperature_over_melt,-0.0930546295588921,0.15858017097552696,0.20296281165462804,0.3093931400932732,0.08926369968787398,0.2725136911221461
GradientBoosting,leave_one_pair_out_boundary_audit,peak_contact_pressure_pa,-0.005262220608741819,3542622552.0772305,4567290859.521931,0.2654219564473268,0.08926369968787398,0.2725136911221461
